id,short_code,name,type,description_main,description_only_numbers1151M390060,part_number_distributor_orbital_fasteners,webpage_distributor_orbital_fasteners,part_number_manufacturer_metalmate,webpage_manufacturer_metalmate,price_current,name_manufacturer_metalmate
hardware_nut_m3,num3,Hardware Nut M3,nut,,,1771000,https://www.orbitalfasteners.co.uk/products/m3-mild-steel-hexagon-full-nuts-bright-zinc-plated,Z0322M39,https://www.harclob2b.com/m3-din934-gr-8-din267-full-nut-zinc-plated-boxed-z0322m39,0.0016,M3 DIN934 (GR.8 DIN267) FULL NUT ZINC PLATED BOXED
hardware_screw_countersunk_m3_black_10_mm_length_hex_head,scsm3b,Hardware Screw Countersunk M3 Black 10 mm Length Hex Head,screw_countersunk,10_mm_length,,1901020,https://www.orbitalfasteners.co.uk/products/m3-x-10-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M390010,https://www.harclob2b.com/m3-x-10-socket-csk-screw-gr10-9-self-colour-din-79-1151m390010,0.0204,M3 X 10 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165)
hardware_screw_countersunk_m3_black_12_mm_length_hex_head,scsm3b,Hardware Screw Countersunk M3 Black 12 mm Length Hex Head,screw_countersunk,12_mm_length,,1901030,https://www.orbitalfasteners.co.uk/products/m3-x-12-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M390012,https://www.harclob2b.com/m3-x-12-socket-csk-screw-gr10-9-self-colour-din-79-1151m390012,0.0210,M3 X 12 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165)
hardware_screw_countersunk_m3_black_16_mm_length_hex_head,scsm3b,Hardware Screw Countersunk M3 Black 16 mm Length Hex Head,screw_countersunk,16_mm_length,,1901040,https://www.orbitalfasteners.co.uk/products/m3-x-16-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M390016,,0.0249,
hardware_screw_countersunk_m3_black_20_mm_length_hex_head,scsm3b,Hardware Screw Countersunk M3 Black 20 mm Length Hex Head,screw_countersunk,20_mm_length,,1901050,https://www.orbitalfasteners.co.uk/products/m3-x-20-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M390020,https://www.harclob2b.com/m3-x-20-socket-csk-screw-gr10-9-self-colour-din-79-1151m390020,0.0288,M3 X 20 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165)
hardware_screw_countersunk_m3_black_25_mm_length_hex_head,scsm3b,Hardware Screw Countersunk M3 Black 25 mm Length Hex Head,screw_countersunk,25_mm_length,,1901051,https://www.orbitalfasteners.co.uk/products/m3-x-25-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M390025,https://www.harclob2b.com/m3-x-25-socket-csk-screw-gr10-9-self-colour-din-79-1151m390025,0.0294,M3 X 25 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165)
hardware_screw_countersunk_m3_black_6_mm_length_hex_head,scsm3b,Hardware Screw Countersunk M3 Black 6 mm Length Hex Head,screw_countersunk,6_mm_length,,1901000,https://www.orbitalfasteners.co.uk/products/m3-x-6-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M390006,https://www.harclob2b.com/m3-x-6-socket-csk-screw-gr10-9-self-colour-din-799-1151m390006,0.0195,M3 X 6 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165)
hardware_screw_countersunk_m3_black_8_mm_length_hex_head,scsm3b,Hardware Screw Countersunk M3 Black 8 mm Length Hex Head,screw_countersunk,8_mm_length,,1901010,https://www.orbitalfasteners.co.uk/products/m3-x-8-socket-screw-countersunk-high-tensile-grade-10-9-self-colour-din-7991,1151M390008,https://www.harclob2b.com/m3-x-8-socket-csk-screw-gr10-9-self-colour-din-799-1151m390008,0.0198,M3 X 8 SOCKET CSK SCREW GR10.9 SELF COLOUR DIN 7991 (165)
hardware_screw_socket_cap_m3_black_10_mm_length_hex_head,sscm3b,Hardware Screw Socket Cap M3 Black 10 mm Length Hex Head,screw_socket_cap,10_mm_length,,1891020,https://www.orbitalfasteners.co.uk/products/m3-x-10-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390010,https://www.harclob2b.com/m3-x-10-socket-cap-screw-gr12-9-self-colour-din-91-1150m390010,0.0234,M3 X 10 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (150)
hardware_screw_socket_cap_m3_black_12_mm_length_hex_head,sscm3b,Hardware Screw Socket Cap M3 Black 12 mm Length Hex Head,screw_socket_cap,12_mm_length,,1891030,https://www.orbitalfasteners.co.uk/products/m3-x-12-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390012,https://www.harclob2b.com/m3-x-12-socket-cap-screw-gr12-9-self-colour-din-91-1150m390012,0.0246,M3 X 12 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (150)
hardware_screw_socket_cap_m3_black_16_mm_length_hex_head,sscm3b,Hardware Screw Socket Cap M3 Black 16 mm Length Hex Head,screw_socket_cap,16_mm_length,,1891040,https://www.orbitalfasteners.co.uk/products/m3-x-16-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390016,https://www.harclob2b.com/m3-x-16-socket-cap-screw-gr12-9-self-colour-din-91-1150m390016,0.0261,M3 X 16 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (150)
hardware_screw_socket_cap_m3_black_20_mm_length_hex_head,sscm3b,Hardware Screw Socket Cap M3 Black 20 mm Length Hex Head,screw_socket_cap,20_mm_length,,1891050,https://www.orbitalfasteners.co.uk/products/m3-x-20-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390020,https://www.harclob2b.com/m3-x-20-socket-cap-screw-gr12-9-self-colour-din-91-1150m390020,0.0288,M3 X 20 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (150)
hardware_screw_socket_cap_m3_black_25_mm_length_hex_head,sscm3b,Hardware Screw Socket Cap M3 Black 25 mm Length Hex Head,screw_socket_cap,25_mm_length,,1891052,https://www.orbitalfasteners.co.uk/products/m3-x-25-socket-cap-screw-high-tensile-grade-12-9-self-colour-,1150M390025,https://www.harclob2b.com/m3-x-25-socket-cap-screw-gr12-9-self-colour-din-91-1150m390025,0.0333,M3 X 25 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (150)
hardware_screw_socket_cap_m3_black_30_mm_length_hex_head,sscm3b,Hardware Screw Socket Cap M3 Black 30 mm Length Hex Head,screw_socket_cap,30_mm_length,,1891054,https://www.orbitalfasteners.co.uk/products/m3-x-30-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390030,https://www.harclob2b.com/m3-x-30-socket-cap-screw-gr12-9-self-colour-din-91-1150m390030,0.0387,M3 X 30 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (150)
hardware_screw_socket_cap_m3_black_35_mm_length_hex_head,sscm3b,Hardware Screw Socket Cap M3 Black 35 mm Length Hex Head,screw_socket_cap,35_mm_length,,1891056,https://www.orbitalfasteners.co.uk/products/m3-x-35-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390035,https://www.harclob2b.com/m3-x-35-socket-cap-screw-gr12-9-self-colour-din-91-1150m390035,0.0420,M3 X 35 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (150)
hardware_screw_socket_cap_m3_black_6_mm_length_hex_head,sscm3b,Hardware Screw Socket Cap M3 Black 6 mm Length Hex Head,screw_socket_cap,6_mm_length,,1891000,https://www.orbitalfasteners.co.uk/products/m3-x-6-socket-cap-screw-high-tensile-grade-12-9-self-colour,1150M390006,https://www.harclob2b.com/m3-x-6-socket-cap-screw-gr12-9-self-colour-din-912-1150m390006,0.0225,M3 X 6 SOCKET CAP SCREW GR12.9 SELF COLOUR DIN 912 (150)
